"channel_title","Avg Likes","Avg Dislikes","Avg Rating","Frequency","Main Category"
"CamilaCabelloVEVO",460171,11841,10,33,"Music"
"Cammie Scott",26536,1352,10,16,"People & Blogs"
"Campari",321,105,8,3,"Entertainment"
"Campo Santo Productions",6376,1664,8,7,"Gaming"
"CamVEVO",4558,418,9,9,"Music"
"Canada Soccer",303,32,9,3,"Sports"
"Candide Thovex",35819,361,10,6,"Sports"
"Capital FM",41062,2514,9,9,"Music"
"CaptainDisillusion",31806,238,10,9,"Entertainment"
"Car Commercials of the Past",22,1,10,4,"Autos & Vehicles"
"Car Throttle",8475,182,10,5,"Autos & Vehicles"
"Caravan Carolyn",0,0,NA,4,"People & Blogs"
"Cardi B",260466,14106,10,14,"People & Blogs"
"Cards Against Humanity",21916,7415,7,8,"Comedy"
"Carla Resendiz",23168,977,10,8,"Entertainment"
"Carli Bybel",28276,960,10,46,"Howto & Style"
"Carlos Campos",2,0,10,4,"People & Blogs"
"Carly and Erin",8277,90,10,5,"Comedy"
"Carrie Underwood",29712,1448,10,16,"Music"
"carrieunderwoodVEVO",62400,3366,9,23,"Music"
"Carter Sharer",79645,13557,9,17,"Entertainment"
"Cartoon Hangover",2503,584,8,2,"Film & Animation"
"Casey Holmes",14917,284,10,31,"Howto & Style"
"CaseyNeistat",107029,5510,10,87,"People & Blogs"
"Caspar",39082,341,10,5,"Entertainment"
"Casually Explained",98769,2576,10,22,"Comedy"
"Cat Man Chris",8536,828,9,12,"Pets & Animals"
"Catch-Up TV",357,550,4,2,"News & Politics"
"CatCreature",15013,105,10,23,"People & Blogs"
"Caterham Cars",22,1,10,1,"Autos & Vehicles"
"Caters Clips",211,65,8,1,"News & Politics"
"CatPusic",16971,177,10,11,"Pets & Animals"
"CBC News",1986,193,9,11,"News & Politics"
"CBS",410,79,8,7,"Entertainment"
"CBS Chicago",208,22,9,6,"News & Politics"
"CBS Evening News",809,85,9,10,"News & Politics"
"CBS Films",1348,112,9,4,"Entertainment"
"CBS Los Angeles",1299,416,8,51,"News & Politics"
"CBS Miami",12822,1899,9,18,"News & Politics"
"CBS New York",4693,257,9,13,"News & Politics"
"CBS News",1981,1082,7,71,"News & Politics"
"CBS Philly",83,14,9,3,"News & Politics"
"CBS Sunday Morning",851,45,10,12,"News & Politics"
"CBS This Morning",3032,1754,8,70,"News & Politics"
"CelineDionVEVO",268126,6959,10,6,"Music"
"CFL Insider",380,29,9,5,"Sports"
"CGP Grey",131453,2796,10,25,"Education"
"cgriesemer",161,8,10,6,"Film & Animation"
"Chad Kroeger",5657,68,10,1,"People & Blogs"
"ChainsmokersVEVO",268208,8057,10,53,"Music"
"ChangeofplanZ",4966,487,9,6,"Entertainment"
"Channel 4",189,5,10,3,"Entertainment"
"Channel Awesome",18439,803,10,18,"Entertainment"
"Channon Rose Vlogs",7413,70,10,3,"Entertainment"
"Chappell Roan",231,1,10,3,"Music"
"Charles Chan",30,7,8,1,"Film & Animation"
"Charlie Corts",38685,1666,10,15,"People & Blogs"
"Charlie Puth",165012,2388,10,52,"Music"
"CHauserable",6,3,7,1,"Comedy"
"Check It Out",3192,1146,7,1,"Education"
"cheeseandjamsandwich",0,0,NA,9,"Science & Technology"
"Chevrolet",597,74,9,4,"Autos & Vehicles"
"Chicago Sun-Times",285,276,5,7,"News & Politics"
"ChildishGambinoVEVO",1623448,65632,10,2,"Music"
"Chili Klaus",8040,473,9,3,"Comedy"
"Chilly Willy",27829,422,10,8,"People & Blogs"
"Chloe x Halle",16691,913,9,17,"Music"
"ChloexHalleVEVO",18923,769,10,18,"Music"
"Choir! Choir! Choir!",1661,25,10,4,"Music"
"CHRIS-RS",66752,655,10,6,"Autos & Vehicles"
"Chris and Jack",6484,69,10,2,"Comedy"
"Chris Hadfield's Rare Earth",2775,86,10,5,"Education"
"chris lee",0,0,NA,1,"People & Blogs"
"Chris Lee",1819,45,NA,5,"People & Blogs"
"Chris Reinacher",3698,379,9,8,"People & Blogs"
"Chris Rosa",29137,2329,9,5,"Comedy"
"Chris Smoove",15288,401,10,23,"Sports"
"Chris Stuckmann",21125,1033,10,33,"Entertainment"
"Chris Sturgeon",18,0,10,1,"People & Blogs"
"Chris Turner",7025,178,10,7,"Pets & Animals"
"ChrisBrownVEVO",45738,1138,10,7,"Music"
"Chriselle Lim",1364,121,9,3,"Howto & Style"
"ChrisStapletonVEVO",5730,221,10,32,"Music"
"Christen Dominique",24694,562,10,40,"Howto & Style"
"Christina Aguilera",37951,794,10,2,"Music"
"Christine Sydelko",38606,358,10,6,"People & Blogs"
"Christopher Davis",764,51,9,7,"People & Blogs"
"ChrisYoungVEVO",5496,445,9,16,"Music"
"Chubbyemu",24323,941,10,17,"Science & Technology"
"ChvrchesVEVO",9504,349,10,20,"Music"
"cicigoodies2011",386,15,10,6,"Music"
"Cimorelli",19684,178,10,12,"Music"
"CinemaSins",43336,3079,9,97,"Film & Animation"
"cineytele",6864,42,10,2,"Film & Animation"
"CIRCUITBEARD",14,0,10,1,"People & Blogs"
"Circus HalliGalli",1453,142,9,7,"Entertainment"
"CityNews Toronto",46,10,8,1,"News & Politics"
"CJENMMUSIC Official",569221,20143,10,11,"Music"
"Claire Marshall",17473,131,10,12,"Howto & Style"
"Clark Zhu",123,10,9,4,"Film & Animation"
"Clash Royale",156060,6394,10,17,"Gaming"
"Cleveland Browns",11,1,9,2,"Sports"
"Cleveland Cavaliers on cleveland.com",259,113,7,6,"News & Politics"
"Clevver News",4688,884,9,37,"Entertainment"
"Clevver Style",12242,474,10,36,"Howto & Style"
"Clicknetwork",4890,190,10,13,"Howto & Style"
"Cloth Map",5357,29,10,3,"Travel & Events"
"clothesencounters",10354,243,10,16,"Howto & Style"
"ClovesVEVO",1769,20,10,1,"Music"
"CMAVEVO",482,67,9,3,"Music"
"CMT",106,46,7,7,"Entertainment"
"CNBC",670,188,8,35,"News & Politics"
"CNET",2455,150,9,29,"Shows"
"CNLohr",522,2,10,1,"Science & Technology"
"CNN",9159,4598,7,144,"News & Politics"
"CNNMoney",6378,343,8,14,"News & Politics"
"Coachella",0,0,NA,3,"Music"
"Cobra Kai",25546,3249,9,17,"Entertainment"
"Coca-Cola",1251,722,6,4,"Entertainment"
"cocheusadoooo",369,48,9,3,"Comedy"
"Cody'sBLab",8636,64,10,7,"People & Blogs"
"Cody'sLab",9912,238,10,8,"Education"
"Cody'sLab Backup",4364,38,10,5,"People & Blogs"
"CoinDaddy",139,7,10,1,"Music"
"ColdFusion",18205,213,10,8,"Autos & Vehicles"
"Cole and Marmalade",18925,272,10,44,"Pets & Animals"
"colinfurze",47236,666,10,39,"Entertainment"
"Colleen Ballinger",36145,1323,10,19,"Comedy"
"Colleen Vlogs",16818,1001,10,19,"Comedy"
"CollegeHumor",28003,1500,10,120,"Comedy"
"ColliderVideos",2107,155,9,65,"Entertainment"
"Collins Key",749566,13690,10,8,"Entertainment"
"colourpopcosmetics",3073,34,10,4,"People & Blogs"
"Comedy Central",5417,242,10,9,"Comedy"
"Comicbook.com",5932,335,9,15,"Film & Animation"
"Commercials Funny",49,7,9,1,"Film & Animation"
"communitychannel",20920,2454,9,6,"Entertainment"
"Complex",35140,1132,10,75,"Entertainment"
"Conan Gray",18699,49,10,8,"People & Blogs"
"Condé Nast Traveler",16662,802,9,32,"Travel & Events"
"Confuse News",188,78,7,2,"News & Politics"
"ConnorFranta",24627,246,10,32,"People & Blogs"
"Conor Maynard",441426,8458,10,5,"Music"
"Context Information Security",16,3,8,2,"Science & Technology"
"Corinne Leigh",36426,265,10,7,"People & Blogs"
"Corridor",24832,1397,9,5,"Entertainment"
"Cosmopolitan.com",9114,194,10,18,"Howto & Style"
"COVERGIRL",308,48,9,5,"Howto & Style"
"Cracked",12028,837,9,26,"Comedy"
"Crafty Panda",20,1,10,2,"People & Blogs"
